return_pct,max_drawdown_pct,trades,win_rate_pct,profit_factor,final_equity,symbol,status,bars,period,strategy
-18.33,-20.78,12,33.33,0.257,8166.59,AAPL,OK,1255,5y,hybrid
-8.45,-21.93,22,50.0,0.715,9155.5,MSFT,OK,1255,5y,hybrid
234.34,-28.58,20,65.0,3.626,33434.09,TSLA,OK,1255,5y,hybrid
108.44,-23.44,17,58.82,2.23,20844.41,NVDA,OK,1255,5y,hybrid
6.19,-21.64,20,60.0,1.196,10618.64,AMZN,OK,1255,5y,hybrid
2.67,-25.95,15,53.33,1.084,10267.19,META,OK,1255,5y,hybrid
-16.1,-28.89,17,47.06,0.432,8389.89,GOOGL,OK,1255,5y,hybrid
-15.52,-30.65,10,60.0,0.641,8447.85,NFLX,OK,1255,5y,hybrid
235.43,-35.9,20,60.0,3.627,33543.14,AMD,OK,1255,5y,hybrid
-25.56,-39.34,16,56.25,0.592,7444.09,INTC,OK,1255,5y,hybrid
