label,strategy,train_mean_return_pct,train_mean_drawdown_pct,test_mean_return_pct,test_median_return_pct,test_mean_drawdown_pct,test_profitable_symbols,test_symbols,train_score
SMA 20/100,sma,114.87,-29.66,47.45,-1.47,-18.97,5,10,85.21000000000001
SMA 5/20,sma,68.73,-41.61,62.72,2.88,-25.75,6,10,27.120000000000005
SMA 10/30,sma,55.46,-36.49,50.71,23.19,-24.35,6,10,18.97
SMA 10/50,sma,51.6,-37.9,50.26,23.18,-24.31,7,10,13.700000000000003
SMA 20/50,sma,48.65,-43.35,45.96,13.21,-24.46,7,10,5.299999999999997
Hybrid 10/30 RSI 40/60,hybrid,26.74,-24.65,15.47,1.46,-13.7,5,10,2.09
Hybrid 10/30 RSI 30/70,hybrid,14.6,-32.58,15.39,10.96,-19.29,7,10,-17.979999999999997
RSI 21/30/70,rsi,8.32,-29.9,21.62,25.66,-17.82,7,10,-21.58
Hybrid 20/50 RSI 40/60,hybrid,-0.07,-24.97,3.87,1.05,-10.81,6,10,-25.04
RSI 14/35/65,rsi,20.19,-45.41,28.86,20.05,-24.9,9,10,-25.219999999999995
Hybrid 5/20 RSI 40/60,hybrid,4.84,-33.24,6.36,3.05,-17.89,6,10,-28.400000000000002
RSI 14/30/70,rsi,-4.77,-47.62,29.04,28.76,-22.24,10,10,-52.39
RSI 21/35/65,rsi,-13.43,-50.23,25.88,30.35,-20.21,9,10,-63.66
