mode,fast,slow,momentum,rebalance,train_cagr,train_dd,train_sharpe,train_trades,train_final_hkd,test_cagr,test_dd,test_sharpe,test_trades,test_final_hkd,score
3067_only,20,50,20,5,0.012291383432747605,-0.17862492410706854,0.16296242965366162,12,1042.976776704726,0.06590154141545024,-0.18292771755541037,0.4159740010459374,24,1159.1063053138314,0.1305975820596421
rotation,20,50,20,5,0.005039874450976978,-0.17511173713455475,0.10112250934187453,32,1017.4667594534308,0.046625095451590326,-0.1916408712383274,0.3326782617052306,44,1111.1857265914014,0.06238444950921282
3067_only,10,30,60,10,0.00039017946338604226,-0.14592261087207536,0.06051618754295353,8,1001.3445925170682,0.0071972361602712365,-0.2145882890873705,0.13405377347735042,8,1016.7295118868924,0.02442571428832073
rotation,10,30,60,10,-0.0049994174835606975,-0.14917713642257135,0.012808196146125548,10,982.8847534721983,0.0073446761778352965,-0.2145312203203793,0.13453363202402238,10,1017.0738745386293,-0.029485505443077986
3067_only,20,50,20,20,-0.009088010690116777,-0.17731132406767336,-0.0031346322287896388,8,969.0430340268512,0.017241989983929562,-0.2992565996721952,0.18952687977789817,8,1040.3417081841721,-0.056550473935824755
rotation,20,50,20,20,-0.011842343456091364,-0.1787760598757956,-0.026057157052039683,10,959.7967416494887,0.005485585170838414,-0.32831745995564643,0.12897272420292696,12,1012.736604484803,-0.08259351547707994
3067_only,10,30,60,5,-0.022933649290699742,-0.16768968209833846,-0.1382848285476636,10,923.1961262808586,0.10465515556646654,-0.20785824901143346,0.5806360761875302,12,1258.938985286524,-0.20314089836294796
3067_only,10,30,20,10,-0.03210016085955991,-0.28451622041271296,-0.1528254867315018,15,893.7039159722356,0.026719915900700553,-0.22482510712057913,0.23323759828225357,12,1062.9040933974359,-0.2560547026942399
3067_only,20,50,60,10,-0.03209184561568412,-0.21006447715798193,-0.17755365932911243,6,893.730362093124,0.09454119959719942,-0.25486886190333546,0.5090622353962927,8,1232.4326156690797,-0.262161624234292
3067_only,20,50,60,5,-0.03330741787607283,-0.20513104949595407,-0.18819697793111276,8,889.870199517196,0.14983242359366078,-0.24313252479733038,0.7403673606290473,8,1381.266733609651,-0.2727871581811741
3067_only,20,50,20,10,-0.03010465031381171,-0.21483637634371322,-0.19630192432086643,12,900.0664558436999,0.02010753616500094,-0.22924760375638742,0.20047687364878106,10,1047.1342154559682,-0.28011566872060645
rotation,10,30,60,5,-0.03187731277947059,-0.18205913978057342,-0.2144022123646208,20,894.4128625861473,0.027306896700092897,-0.22055490181536608,0.23837430595763548,26,1064.3104551409913,-0.29179431008923473
rotation,20,50,60,10,-0.037394150440206664,-0.22544940994653673,-0.22009560101189146,12,876.9791447245716,0.044842996944904456,-0.2554978948339648,0.31559232643554647,20,1106.8134321920359,-0.3138521039387323
3067_only,10,30,20,5,-0.04334014005731679,-0.2957593137070498,-0.23241440058667992,15,858.4607764989943,0.08472030471038394,-0.17972756714647642,0.49469034825914027,22,1207.000305321047,-0.3496943690707592
rotation,20,50,60,5,-0.04234194704925853,-0.22752577241077732,-0.25467947547921777,18,861.5500075175922,0.11312166297046788,-0.26528168622361836,0.5874158890762183,48,1281.3743207506334,-0.3539028656311706
rotation,10,30,20,10,-0.043681965482476826,-0.28903055055682236,-0.23913525186602785,27,857.4046965898876,0.022708686723983185,-0.23092807319695585,0.21326211331712505,22,1053.3217375640704,-0.3550748549877103
rotation,10,30,20,20,-0.05123977105147015,-0.25616044692165874,-0.24398684332208972,15,834.2894163169157,0.004982333402854033,-0.30534957555922404,0.13031557800642032,16,1011.5643248754876,-0.3592667261039746
3067_only,10,30,20,20,-0.05414449448178227,-0.25821707498166246,-0.2539849152739513,13,825.5242839152137,0.017465852089854517,-0.2763992810608983,0.19096411823020154,12,1040.871448584116,-0.37268367850114914
rotation,20,50,20,10,-0.040021673369510014,-0.21392822814744172,-0.2828920283355717,20,868.761316186885,0.005100222577492319,-0.23285268052034558,0.12214329571310394,16,1011.8388679388404,-0.37639575874194214
3067_only,10,30,60,20,-0.03696903042386568,-0.24315746942182193,-0.32703709138651577,6,878.3139131216288,0.024332001801812053,-0.293342385495049,0.22393069751377817,8,1057.1937121746023,-0.4247954891658369
