strategy,params,sl,tp,median_cagr_train,median_dd_train,median_cagr_test,mean_cagr_test,median_dd_test,mean_trades_test,win_rate_test
rsi,"{'period': 14, 'oversold': 25, 'overbought': 65}",0.0,0.0,0.04120108631099806,-0.32411021174667565,0.0013015895833849989,0.0048550363679052185,-0.036753073588133844,0.75,0.7333333333333333
sma,"{'fast_period': 20, 'slow_period': 50}",0.05,0.06,0.0011460258458260708,-0.1517417904499348,0.03165551106732889,0.01622793540319494,-0.09646881355941656,5.35,0.5607476635514018
hybrid,"{'fast_period': 20, 'slow_period': 30, 'period': 14, 'oversold': 40, 'overbought': 60}",0.0,0.0,-0.003315219594083596,-0.30903029961075873,0.01831465177541014,0.02221837794317024,-0.19485109731661854,7.55,0.5364238410596026
volume_ema,"{'fast_period': 5, 'slow_period': 21, 'vol_period': 20, 'vol_factor': 2.0}",0.0,0.0,-0.004712092955698577,-0.17983549970784596,0.0,0.06185769616666301,-0.09632956632274792,1.7,0.47058823529411764
sma,"{'fast_period': 20, 'slow_period': 50}",0.03,0.1,-0.005811887147539052,-0.15420728270117673,0.026197802093555156,0.012761645782955421,-0.10145140604183212,5.35,0.32710280373831774
hybrid,"{'fast_period': 20, 'slow_period': 50, 'period': 14, 'oversold': 40, 'overbought': 65}",0.0,0.0,-0.008805512345044897,-0.22947732073484972,0.03463577101662385,0.04654468332090152,-0.2133895704388673,6.1,0.5163934426229508
sma,"{'fast_period': 20, 'slow_period': 50}",0.05,0.1,-0.007708107195860292,-0.19545362534120558,0.032484625504749065,0.0364024956354309,-0.11855464921335157,5.35,0.4766355140186916
rsi,"{'period': 14, 'oversold': 30, 'overbought': 70}",0.0,0.0,-0.020610245433693386,-0.5060855003888157,0.09946940980034014,0.10748078135707625,-0.24496255282725726,2.0,0.675
hybrid,"{'fast_period': 20, 'slow_period': 30, 'period': 14, 'oversold': 35, 'overbought': 60}",0.0,0.0,-0.015758270973940225,-0.3090302996107588,0.015527727181465667,0.02773345442485643,-0.13678851410271659,6.5,0.5230769230769231
hybrid,"{'fast_period': 20, 'slow_period': 30, 'period': 14, 'oversold': 40, 'overbought': 65}",0.0,0.0,-0.01954146276235197,-0.3367200883357943,0.062018802225752845,0.06629105691322301,-0.18820056481658093,9.05,0.5524861878453039
