long,inverse,weight,ma,baseline_cagr_train,baseline_dd_train,hedged_cagr_train,hedged_dd_train,baseline_cagr_test,baseline_dd_test,hedged_cagr_test,hedged_dd_test,hedged_sharpe_test,switches_test,score
3033.HK,7552.HK,0.5,20/50,-0.23068638856890877,-0.7472527498919265,0.015422827004324624,-0.31521022437765656,0.151522558328947,-0.3628048986586552,0.02639409598776865,-0.3056374292181615,0.24980098912324122,15,0.5550971333008866
3033.HK,7552.HK,0.5,10/50,-0.23068638856890877,-0.7472527498919265,-0.018706547147940955,-0.34030356667884476,0.151522558328947,-0.3628048986586552,-0.07547896455554248,-0.4107250727729842,-0.09266073509793317,21,0.5129391039235656
3033.HK,7552.HK,0.5,20/30,-0.23068638856890877,-0.7472527498919265,-0.03245763757499143,-0.39259927913969594,0.151522558328947,-0.3628048986586552,0.027864433423101742,-0.24558339046711275,0.24618973696917656,25,0.4537678462491892
2800.HK,7500.HK,0.25,20/30,-0.0633349651164713,-0.49388413879144566,-0.052317409843141593,-0.30673113334089475,0.14301461962937756,-0.20095691814761596,0.04090206468806157,-0.20095691814761618,0.31488330674826853,28,0.19266178308721577
2800.HK,7500.HK,0.5,20/50,-0.0633349651164713,-0.49388413879144566,-0.02380004717531381,-0.33702170645934515,0.14301461962937756,-0.20095691814761596,0.04459796897730173,-0.23689133838762477,0.30485916653518136,18,0.17662989130267925
2800.HK,7500.HK,0.5,20/30,-0.0633349651164713,-0.49388413879144566,-0.06110975973463195,-0.32697732638751653,0.14301461962937756,-0.20095691814761596,-0.06428223330166571,-0.26647964754048303,-0.24489207339894098,28,0.1680194150948488
2800.HK,7300.HK,0.5,20/50,-0.024894273952444146,-0.41626441277777415,-0.0033865069001628445,-0.31605089602667347,0.1262899954992025,-0.3124569814884567,0.06948010913511227,-0.2759868499487679,0.4623541642079834,26,0.11096740027724133
2800.HK,7300.HK,0.5,20/30,-0.024894273952444146,-0.41626441277777415,-0.0144654171672578,-0.31408733121213284,0.1262899954992025,-0.3124569814884567,0.004265947957676097,-0.33883017176204133,0.1145667012323768,36,0.10739150995823449
2800.HK,7300.HK,0.25,20/30,-0.024894273952444146,-0.41626441277777415,-0.01650210565471677,-0.3342473092915694,0.1262899954992025,-0.3124569814884567,0.06743953585353113,-0.3155553719743899,0.4504937808062448,36,0.08621318763506841
