test,asset,params,cagr,dd,sharpe,trades,win_rate,score
orb,7552.HK,"open15,volx1.2,sl0.01,tp0.02",-0.17598990487022248,-0.06342913731559985,-1.6781259776741237,36,0.3888888888888889,-1.8699731668732462
orb,7552.HK,"open15,volx1.5,sl0.01,tp0.02",-0.17850317726792886,-0.0689534926176093,-1.784346334361559,34,0.4117647058823529,-1.9800878847838903
orb,7500.HK,"open15,volx1.0,sl0.02,tp0.03",-0.2174218316266594,-0.0590501036218668,-1.763908663157471,34,0.35294117647058826,-1.996093020689597
orb,7552.HK,"open15,volx1.2,sl0.01,tp0.04",-0.2710701816009248,-0.08149611249440003,-1.797732651163175,36,0.3333333333333333,-2.0891768608877
orb,7500.HK,"open15,volx1.0,sl0.02,tp0.04",-0.22788450309642183,-0.0590501036218668,-1.9356964657986016,34,0.35294117647058826,-2.1783434948004903
orb,7552.HK,"open15,volx1.2,sl0.02,tp0.02",-0.26904990349305546,-0.10164664305224802,-1.935486756826794,36,0.4722222222222222,-2.2299483210829116
orb,7500.HK,"open15,volx1.0,sl0.01,tp0.03",-0.2537321935744997,-0.0589218011798649,-2.010933660189428,34,0.35294117647058826,-2.2793963040588943
orb,7552.HK,"open15,volx1.5,sl0.02,tp0.02",-0.2804640939751014,-0.11649520660627444,-2.139985011788758,34,0.47058823529411764,-2.449572907415428
orb,7500.HK,"open15,volx1.0,sl0.01,tp0.04",-0.2637094140013354,-0.06159049979458875,-2.191737331813792,34,0.35294117647058826,-2.4708443707637744
orb,7500.HK,"open15,volx1.0,sl0.02,tp0.02",-0.25332300801182395,-0.063072252486995,-2.375590834704096,34,0.35294117647058826,-2.6446819058376687
orb,7300.HK,"open60,volx1.5,sl0.01,tp0.03",-0.14615381100494518,-0.035107947932333294,-6.006219583039679,11,0.18181818181818182,-6.161150381027707
orb,7300.HK,"open60,volx1.5,sl0.01,tp0.02",-0.14615381100494518,-0.035107947932333294,-6.006219583039679,11,0.18181818181818182,-6.161150381027707
orb,7300.HK,"open60,volx1.5,sl0.02,tp0.02",-0.14615381100494518,-0.035107947932333294,-6.006219583039679,11,0.18181818181818182,-6.161150381027707
orb,7300.HK,"open60,volx1.5,sl0.01,tp0.04",-0.14615381100494518,-0.035107947932333294,-6.006219583039679,11,0.18181818181818182,-6.161150381027707
orb,7300.HK,"open60,volx1.5,sl0.02,tp0.03",-0.14615381100494518,-0.035107947932333294,-6.006219583039679,11,0.18181818181818182,-6.161150381027707
