strategy,train_cagr,train_dd,train_trades,test_cagr,test_dd,test_trades,test_win_rate,test_total,score
"sma:{'fast': 5, 'slow': 20},sl0.05,tp0.1",0.21799038490762324,-0.2783676972332959,124,-0.10086396307929113,-0.2590818815578837,59,0.3389830508474576,-0.18710803383224095,0.14839846059929926
"rsi:{'period': 14, 'os': 30, 'ob': 70},sl0.03,tp0.06",0.12086918390244472,-0.31389957454675543,91,0.05112455051492848,-0.11314523877722915,45,0.37777777777777777,0.10202457376287155,0.04239429026575586
"rsi:{'period': 14, 'os': 30, 'ob': 70},sl0.05,tp0.1",0.05293896126345965,-0.3256129224484767,69,0.06550654497746744,-0.18276244011903064,26,0.2692307692307692,0.1315941602294266,-0.028464269348659532
"hybrid:{'fast': 20, 'slow': 50, 'period': 14, 'os': 40, 'ob': 60},sl0.03,tp0.06",0.015338081073226428,-0.19380647893911906,122,-0.06709093982385939,-0.23432673133871396,66,0.4090909090909091,-0.1265570771349076,-0.03311353866155334
"sma:{'fast': 20, 'slow': 50},sl0.05,tp0.1",-0.01902434214497628,-0.23696212355156032,36,0.37319082889081967,-0.18933581066415905,40,0.575,0.855054286242092,-0.07826487303286636
"sma:{'fast': 5, 'slow': 20},sl0.03,tp0.06",-0.04292766876341614,-0.3869184279616331,167,-0.27436979325650057,-0.4804405406854835,75,0.25333333333333335,-0.4646768487835359,-0.13965727575382442
"sma:{'fast': 20, 'slow': 50},sl0.03,tp0.06",-0.07522581728194844,-0.26930689084500214,74,0.15495650193846466,-0.34629147174007435,56,0.4642857142857143,0.32404780075905326,-0.14255253999319897
"sma:{'fast': 10, 'slow': 30},sl0.05,tp0.1",-0.012402404685122437,-0.5294636796632899,74,-0.024094182657048213,-0.26106630475167414,50,0.36,-0.046408807624360615,-0.1447683246009449
"hybrid:{'fast': 20, 'slow': 50, 'period': 14, 'os': 40, 'ob': 60},sl0.05,tp0.1",-0.09258043960121598,-0.44705478730700143,97,0.06707642531159475,-0.16260153015781043,54,0.5555555555555556,0.13484492388141822,-0.20434413642796634
"rsi:{'period': 14, 'os': 35, 'ob': 65},sl0.05,tp0.1",-0.09764053502358883,-0.4356473406777075,69,-0.10286336556310671,-0.3732982658122953,59,0.288135593220339,-0.19062631373617567,-0.2065523701930157
"sma:{'fast': 10, 'slow': 30},sl0.03,tp0.06",-0.10728613057289571,-0.4790593641585329,82,0.09360404518505083,-0.13964341429727123,86,0.37209302325581395,0.19046197468117998,-0.22705097161252893
"hybrid:{'fast': 10, 'slow': 30, 'period': 14, 'os': 40, 'ob': 60},sl0.05,tp0.1",-0.1646806174480372,-0.5549037452982334,83,-0.052896749376814656,-0.20024979825949552,55,0.36363636363636365,-0.10047704094351573,-0.3034065537725955
"hybrid:{'fast': 10, 'slow': 30, 'period': 14, 'os': 40, 'ob': 60},sl0.03,tp0.06",-0.19146066807085138,-0.5615798353418429,79,-0.05737479683134661,-0.18151161230383273,64,0.328125,-0.10874521585602426,-0.3318556269063121
"rsi:{'period': 14, 'os': 35, 'ob': 65},sl0.03,tp0.06",-0.23969366786878943,-0.6380649960263305,66,-0.0694208976737335,-0.23507408405717833,83,0.3493975903614458,-0.1308023885778795,-0.39920991687537205
