strategy,params,sl,tp,segment_train,median_cagr_train,mean_cagr_train,median_dd_train,mean_trades_train,win_rate_train,score,segment_test,median_cagr_test,mean_cagr_test,median_dd_test,mean_trades_test,win_rate_test
sma,"{'fast_period': 5, 'slow_period': 20}",0.05,0.06,train,0.081034465642988,0.045307764767157886,-0.21206684246441188,22.066666666666666,0.5438066465256798,0.38211756586410645,test,-0.07903896433260993,-0.07922215119216368,-0.25461400125497635,15.2,0.37719298245614036
sma,"{'fast_period': 5, 'slow_period': 20}",0.05,0.1,train,0.10470896842236277,0.06915807925730857,-0.2780386457845061,22.066666666666666,0.45317220543806647,0.37659861321406907,test,-0.1457808546992525,-0.10842562859932701,-0.33982122871548215,15.2,0.2631578947368421
rsi,"{'period': 14, 'oversold': 25, 'overbought': 65}",0.08,0.15,train,0.10742350472306872,0.06455885566648405,-0.3136061016908115,13.133333333333333,0.45685279187817257,0.34254277625305585,test,-0.047636727620343655,-0.047534538888090845,-0.33712410116094504,10.133333333333333,0.3355263157894737
hybrid,"{'fast_period': 20, 'slow_period': 50, 'period': 14, 'oversold': 35, 'overbought': 60}",0.08,0.1,train,0.10573307377814878,0.06984486235927108,-0.3146753879249812,28.0,0.5357142857142857,0.33600681157611095,test,-0.09901499736833153,-0.14250605688583484,-0.46486030051117133,20.066666666666666,0.3920265780730897
rsi,"{'period': 14, 'oversold': 35, 'overbought': 65}",0.08,0.15,train,0.09982233660801731,0.05824409267671622,-0.31360610169081105,13.133333333333333,0.4619289340101523,0.31830482911468877,test,-0.031363380401634555,-0.03857511195297665,-0.2958745488859532,10.266666666666667,0.34415584415584416
hybrid,"{'fast_period': 20, 'slow_period': 50, 'period': 14, 'oversold': 35, 'overbought': 60}",0.05,0.15,train,0.11513640638016032,0.04917502314771618,-0.3729661987067159,29.066666666666666,0.36009174311926606,0.3087046675527251,test,-0.13887774932916552,-0.12568836837364422,-0.43208697311663236,20.533333333333335,0.24025974025974026
sma,"{'fast_period': 5, 'slow_period': 20}",0.08,0.15,train,0.09838701382359538,0.08392293821517106,-0.32094231819527075,22.066666666666666,0.4622356495468278,0.30655668712324136,test,-0.14813723252666333,-0.14653631259810931,-0.3966024710774779,15.2,0.2719298245614035
hybrid,"{'fast_period': 10, 'slow_period': 30, 'period': 14, 'oversold': 40, 'overbought': 60}",0.08,0.15,train,0.11850744808668945,0.1135585986363001,-0.39180177627025325,29.333333333333332,0.4590909090909091,0.3024678683563357,test,-0.17073468003270453,-0.14397909941137624,-0.4991707532720514,18.866666666666667,0.31802120141342755
hybrid,"{'fast_period': 20, 'slow_period': 50, 'period': 14, 'oversold': 35, 'overbought': 60}",0.08,0.15,train,0.11754419402557215,0.14218962239811597,-0.4001292989519062,25.733333333333334,0.4896373056994819,0.2937655261273443,test,-0.1023075539415148,-0.13548068449502057,-0.4820426607704018,17.666666666666668,0.3132075471698113
sma,"{'fast_period': 5, 'slow_period': 20}",0.08,0.1,train,0.08142717688929735,0.07876651814261929,-0.2987092747812843,22.066666666666666,0.525679758308157,0.2725967479547414,test,-0.1452899615850669,-0.10661871018207436,-0.3624545177772317,15.2,0.34210526315789475
