fast,slow,regime,breakdown,adx,sl,tp,max_hold,segment_train,mean_cagr_train,worst_cagr_train,mean_dd_train,mean_sharpe_train,trades_train,win_rate_train,score,segment_test,mean_cagr_test,worst_cagr_test,mean_dd_test,mean_sharpe_test,trades_test,win_rate_test
10,30,200,10,20,0.05,0.1,10,train,-0.15492453388350713,-0.22392898887596224,-0.5551196939490697,-0.3257519065938626,61.0,0.3770491803278688,-0.6194563639646371,test,-0.04111338961318656,-0.09383973552282043,-0.15052342132148433,-0.27949767254853364,15.0,0.26666666666666666
20,50,200,10,20,0.05,0.1,10,train,-0.16153605436335694,-0.22546448300001265,-0.5492075628702446,-0.34075629816067227,62.0,0.3709677419354839,-0.6395942432415904,test,-0.04891469081068217,-0.07447499498332211,-0.1631041621984119,-0.45390206908855857,12.0,0.25
20,50,100,10,20,0.05,0.1,10,train,-0.16278337766068196,-0.2279591295946627,-0.5492075628702449,-0.3486514273281557,63.0,0.36507936507936506,-0.6487366957063989,test,-0.040977812822864834,-0.05704386564523911,-0.14599386464132058,-0.3335943566957217,14.0,0.2857142857142857
20,50,200,10,20,0.05,0.1,5,train,-0.16239711307094795,-0.23473649314460254,-0.5547832100357561,-0.3521077755767203,63.0,0.38095238095238093,-0.6532006911566073,test,-0.03067443596663505,-0.062155878949512355,-0.13715489865310265,-0.2453167284217527,12.0,0.25
20,50,100,10,20,0.05,0.1,5,train,-0.1636295045878542,-0.23720127617841502,-0.5466454053281149,-0.36029743642511436,64.0,0.375,-0.6605882923449973,test,-0.02184286357022147,-0.0444927341566852,-0.12336827887611757,-0.11986557284697447,14.0,0.2857142857142857
10,30,200,10,20,0.05,0.1,5,train,-0.16304929828786346,-0.22986956402205927,-0.5628836694265406,-0.36849243527505127,63.0,0.38095238095238093,-0.6722626509195498,test,-0.03179275671269233,-0.09383973552282043,-0.15052342132148444,-0.16749227510262588,15.0,0.26666666666666666
10,30,200,10,20,0.03,0.1,5,train,-0.16492723514359264,-0.25735861061226195,-0.5513933212558925,-0.3991109316336027,65.0,0.3230769230769231,-0.7018864970911685,test,-0.06242164191152544,-0.10597290165013173,-0.18357103207089964,-0.5152397955672903,17.0,0.17647058823529413
10,30,100,10,20,0.05,0.1,10,train,-0.17337224935547213,-0.26082441981989224,-0.5731148697813584,-0.3863328732820178,63.0,0.36507936507936506,-0.7029838400828295,test,-0.05911650429272075,-0.07677331734339099,-0.1768010671620852,-0.479127539797124,17.0,0.23529411764705882
20,50,200,10,20,0.05,0.1,3,train,-0.17839334257288392,-0.2887649859852863,-0.563602611495918,-0.40546365819172714,68.0,0.4411764705882353,-0.7247576536385906,test,-0.028929958731677086,-0.05119275528153888,-0.1264954709952692,-0.23697654587436492,13.0,0.3076923076923077
10,30,200,20,20,0.05,0.1,10,train,-0.17550415585115603,-0.24565842663036086,-0.5641922291268668,-0.4127031826929499,59.0,0.3389830508474576,-0.7292553958258228,test,-0.035781622754358866,-0.08317620180516505,-0.14054164827401233,-0.2442865322575896,14.0,0.2857142857142857
20,50,100,10,20,0.05,0.1,3,train,-0.17953872581662456,-0.2910557524727676,-0.550550793458312,-0.4147318701765539,69.0,0.43478260869565216,-0.7319082943577564,test,-0.019995147835184968,-0.033323133488554646,-0.12296119264076671,-0.1373460099447229,15.0,0.3333333333333333
10,30,200,10,20,0.03,0.1,10,train,-0.1711817912957979,-0.25735861061226195,-0.5685381125425892,-0.4245776602973286,63.0,0.31746031746031744,-0.7378939797287738,test,-0.06242164191152544,-0.10597290165013173,-0.18357103207089964,-0.5152397955672903,17.0,0.17647058823529413
20,50,100,20,20,0.05,0.1,3,train,-0.1755865026903723,-0.26559890170109524,-0.5510067819601737,-0.43241652887957505,60.0,0.43333333333333335,-0.7457547270599908,test,-0.019843898053588382,-0.033020633925361476,-0.12296119264076655,-0.13911979083248555,14.0,0.35714285714285715
20,50,200,10,20,0.05,0.06,3,train,-0.18269492066952192,-0.3131508018896363,-0.5724909740155684,-0.425477703714391,74.0,0.4864864864864865,-0.751295367887805,test,-0.023486624644363074,-0.05057722396639919,-0.1264954709952692,-0.15888988985478059,13.0,0.3076923076923077
20,50,100,20,20,0.05,0.1,10,train,-0.17426023661785356,-0.21922389865917047,-0.5892103574489156,-0.431517524854191,55.0,0.34545454545454546,-0.7530803508342734,test,-0.02908012682778227,-0.033248493655073985,-0.1396728718298031,-0.24881804945525077,13.0,0.3076923076923077
